accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,label
1.017,7.94295,6.82605,-0.26786,1.93803,-1.34717,non-fall
-0.342,2.07195,9.30195,-6.00317,-2.77312,-1.57563,non-fall
-0.438,2.13705,9.05505,3.09612,-1.79622,-1.57563,non-fall
-0.876,2.71395,9.10605,0.4333,14.57461,-5.56987,fall
4.32795,-6.44805,-15.87495,10.09194,82.05114,-25.52527,fall
2.33805,-1.071,-0.99495,-272.63196,-19.5221,78.90775,fall
-8.50695,9.73605,49.59795,229.89285,116.83325,150.79604,fall
10.21305,-8.991,6.252,-406.26144,-218.24893,-72.56582,fall
-0.93105,-19.88295,-12.07605,-47.23751,98.98132,-80.05796,fall
-18,10.48605,78.33705,-14.33827,164.01561,-82.36626,fall
11.12805,-9.408,-12.24105,-300.34735,-232.04359,-34.20701,fall
3.81795,-17.34705,-17.29005,-23.9969,63.41926,-41.34464,fall
0.37995,6.255,36.774,273.91608,205.44691,42.3688,fall
17.74605,-5.60295,28.926,-394.57025,-305.89359,-85.93507,fall
-8.60505,-1.947,30.42195,289.67242,143.9893,151.4263,fall
6.162,0.12495,-1.45905,-226.15073,-234.76945,11.84877,fall
13.64895,8.058,31.33695,321.24023,221.82562,105.22871,fall
8.757,-0.666,55.92795,-149.57492,-340.25815,-24.33566,fall
2.496,-12.70905,-24.555,-153.00194,12.95171,-7.53941,fall
2.94405,0.453,30.84105,317.11209,160.43893,21.64921,fall
-0.40905,3.03195,9.44805,0.22059,4.13604,2.40284,non-fall
-0.60795,2.97195,9.10305,0.08666,3.43488,3.37973,non-fall
-0.51495,3.063,9.57705,1.27626,-0.27574,1.41807,non-fall
-0.20295,3.18495,9.381,0.01576,-0.55935,0.15756,non-fall
-0.55305,3.09705,8.991,-4.81356,3.57669,3.52154,non-fall
-0.07695,3.18105,9.38295,0.4333,-0.13393,-0.67752,non-fall
-0.46695,3.26895,9.05805,2.46587,-1.88288,1.97742,non-fall
-0.18195,3.36705,9.285,-1.7332,-0.90599,4.99476,non-fall
-0.069,3.501,9.35505,-0.89811,2.59192,8.56357,non-fall
-0.72495,3.171,9.369,0.08666,9.03626,17.93859,non-fall
-1.065,2.886,9.123,-4.53783,20.51475,34.45911,non-fall
-1.43205,2.64405,9.606,-4.95537,22.96486,50.7039,non-fall
-1.386,2.874,9.609,-8.52418,15.12609,40.47804,non-fall
-0.76095,3.16095,8.86395,-5.79833,15.61453,28.15658,non-fall
-1.48695,2.745,9.50595,-3.27732,4.69539,29.14135,non-fall
-0.44505,3.09705,9.25395,3.30095,1.75683,20.3178,non-fall
-0.603,2.79,9.40995,10.72219,12.46326,21.37347,non-fall
0.78405,2.55105,8.70105,-0.05515,4.48268,28.29839,non-fall
0.73905,2.829,9.69705,-14.68491,11.41547,20.87715,non-fall
1.077,3.07995,9.12705,-6.56252,9.03626,24.02842,non-fall
-0.40695,2.43105,10.40805,13.66075,39.61932,31.79629,non-fall
-1.30995,1.40895,10.05405,4.70327,14.91337,26.40763,non-fall
-1.197,1.806,9.618,-3.49003,7.84666,12.96747,non-fall
-0.82605,2.754,10.33395,4.41965,16.52052,-17.9701,non-fall
-0.44505,2.69895,9.89295,-0.7563,-5.87711,-24.13083,non-fall
-1.053,2.59605,9.59205,-1.8041,1.75683,-5.50684,non-fall
0.042,3.37395,8.328,-8.03573,1.74895,26.76214,non-fall
-0.07395,2.76195,8.811,12.0536,-1.81986,-6.208,non-fall
-1.152,3.09705,8.74905,-7.33458,34.44336,58.25906,non-fall
-0.98205,1.82505,11.931,1.552,30.94545,93.3248,non-fall
-1.611,1.52595,9.01995,-5.16808,34.30155,115.17097,non-fall
-0.67995,1.97595,9.642,2.53677,11.6203,104.31484,non-fall
1.56705,2.53605,8.787,-7.68909,39.76112,60.70918,non-fall
1.86195,2.802,9.55605,27.45542,-21.20803,22.20856,non-fall
4.824,3.111,7.67205,29.62192,-43.74747,41.53371,non-fall
8.925,2.42895,3.51,-1.31565,-49.69549,61.68607,non-fall
8.54895,-0.39105,2.94,-24.55626,-12.10875,78.4193,non-fall
10.00005,-2.625,4.482,53.56367,8.3351,12.47902,non-fall
7.656,-4.317,4.90395,38.16185,25.13136,-17.19804,non-fall
9.05895,-2.445,4.91805,89.68508,-26.80941,-2.63919,non-fall
8.25495,-0.84105,4.41105,42.71544,3.08036,-43.73172,non-fall
